order_id,department,add_time,mod_time
20071365,JUS,2015-09-26 20:09:10.046+00,2015-09-26 20:09:10.046+00
20071366,JUS,2015-09-26 20:09:10.288+00,2015-09-26 20:09:10.288+00
20071367,JUS,2015-09-26 20:09:10.535+00,2015-09-26 20:09:10.535+00
20071368,JUS,2015-09-26 20:09:10.835+00,2015-09-26 20:09:10.835+00
20071369,JUS,2015-09-26 20:09:11.092+00,2015-09-26 20:09:11.092+00
20071370,JUS,2015-09-26 20:09:11.375+00,2015-09-26 20:09:11.375+00
20071371,JUS,2015-09-26 20:09:11.675+00,2015-09-26 20:09:11.675+00
20071372,JUS,2015-09-26 20:09:11.957+00,2015-09-26 20:09:11.957+00
20071373,JUS,2015-09-26 20:09:12.244+00,2015-09-26 20:09:12.244+00
20071374,RESOURCES,2015-09-26 20:09:12.473+00,2015-09-26 20:09:12.473+00
20071375,RESOURCES,2015-09-26 20:09:12.707+00,2015-09-26 20:09:12.707+00
20071376,PSEP,2015-09-26 20:09:12.991+00,2015-09-26 20:09:12.991+00
20071377,PSEP,2015-09-26 20:09:13.246+00,2015-09-26 20:09:13.246+00
20071378,PSEP,2015-09-26 20:09:13.488+00,2015-09-26 20:09:13.488+00
20071379,PSEP,2015-09-26 20:09:13.748+00,2015-09-26 20:09:13.748+00
20071380,PSEP,2015-09-26 20:09:14.007+00,2015-09-26 20:09:14.007+00
20071380,TB,2015-09-26 20:09:14.012+00,2015-09-26 20:09:14.012+00
20071381,IA&ND,2015-09-26 20:09:14.6+00,2015-09-26 20:09:14.6+00
20071382,JUS,2015-09-26 20:09:15.255+00,2015-09-26 20:09:15.255+00
20071383,TC,2015-09-26 20:09:16.164+00,2015-09-26 20:09:16.164+00
20071384,TC,2015-09-26 20:09:17.1+00,2015-09-26 20:09:17.1+00
20071385,TC,2015-09-26 20:09:17.411+00,2015-09-26 20:09:17.411+00
20071386,TC,2015-09-26 20:09:17.639+00,2015-09-26 20:09:17.639+00
20071387,TC,2015-09-26 20:09:17.871+00,2015-09-26 20:09:17.871+00
20071388,TC,2015-09-26 20:09:18.1+00,2015-09-26 20:09:18.1+00
20071389,HEALTH,2015-09-26 20:09:18.335+00,2015-09-26 20:09:18.335+00
20071390,HEALTH,2015-09-26 20:09:18.675+00,2015-09-26 20:09:18.675+00
20071391,HEALTH,2015-09-26 20:09:19.093+00,2015-09-26 20:09:19.093+00
20071392,HEALTH,2015-09-26 20:09:19.381+00,2015-09-26 20:09:19.381+00
20071393,HEALTH,2015-09-26 20:09:19.64+00,2015-09-26 20:09:19.64+00
20071394,PSEP,2015-09-26 20:09:19.875+00,2015-09-26 20:09:19.875+00
20071395,PSEP,2015-09-26 20:09:20.108+00,2015-09-26 20:09:20.108+00
20071396,PSEP,2015-09-26 20:09:20.398+00,2015-09-26 20:09:20.398+00
20071397,PSEP,2015-09-26 20:09:20.634+00,2015-09-26 20:09:20.634+00
20071398,PSEP,2015-09-26 20:09:20.866+00,2015-09-26 20:09:20.866+00
20071399,PSEP,2015-09-26 20:09:21.096+00,2015-09-26 20:09:21.096+00
20071400,CITIZENSHIP,2015-09-26 20:09:21.322+00,2015-09-26 20:09:21.322+00
20071401,CITIZENSHIP,2015-09-26 20:09:21.559+00,2015-09-26 20:09:21.559+00
20071402,RESOURCES,2015-09-26 20:09:21.798+00,2015-09-26 20:09:21.798+00
20071403,HRSD,2015-09-26 20:09:22.028+00,2015-09-26 20:09:22.028+00
20071404,HRSD,2015-09-26 20:09:22.258+00,2015-09-26 20:09:22.258+00
20071405,HRSD,2015-09-26 20:09:22.503+00,2015-09-26 20:09:22.503+00
20071406,HRSD,2015-09-26 20:09:22.729+00,2015-09-26 20:09:22.729+00
20071407,HRSD,2015-09-26 20:09:22.96+00,2015-09-26 20:09:22.96+00
20071408,HRSD,2015-09-26 20:09:23.205+00,2015-09-26 20:09:23.205+00
20071409,HRSD,2015-09-26 20:09:23.435+00,2015-09-26 20:09:23.435+00
20071410,HRSD,2015-09-26 20:09:23.692+00,2015-09-26 20:09:23.692+00
20071411,HRSD,2015-09-26 20:09:23.929+00,2015-09-26 20:09:23.929+00
20071412,HRSD,2015-09-26 20:09:24.166+00,2015-09-26 20:09:24.166+00
20071413,HRSD,2015-09-26 20:09:24.439+00,2015-09-26 20:09:24.439+00
20071414,HRSD,2015-09-26 20:09:24.706+00,2015-09-26 20:09:24.706+00
